Sex,Pclass,Embarked,Title,FamilySize_Cat,Sex_Pclass,AgeGroup,Deck,FareBin,IsAlone,CabinKnown,Age,Fare,FarePerPerson,FamilySize,TicketGroupSize,Survived
male,3,S,Mr,Small,male_3,Adult,Unknown,Low,0,0,22.0,7.25,3.625,2,1,0.0
female,1,C,Mrs,Small,female_1,Adult,C,VeryHigh,0,1,38.0,71.2833,35.64165,2,2,1.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Medium,1,0,26.0,7.925,7.925,1,1,1.0
female,1,S,Mrs,Small,female_1,Adult,C,VeryHigh,0,1,35.0,53.1,26.55,2,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,35.0,8.05,8.05,1,1,0.0
male,3,Q,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.4583,8.4583,1,1,0.0
male,1,S,Mr,Alone,male_1,Adult,E,VeryHigh,1,1,54.0,51.8625,51.8625,1,2,0.0
male,3,S,Master,Large,male_3,Child,Unknown,High,0,0,2.0,21.075,4.215,5,5,0.0
female,3,S,Mrs,Optimal,female_3,Adult,Unknown,Medium,0,0,27.0,11.1333,3.7111,3,3,1.0
female,2,C,Mrs,Small,female_2,Child,Unknown,High,0,0,14.0,30.0708,15.0354,2,2,1.0
female,3,S,Miss,Optimal,female_3,Child,G,High,0,1,4.0,16.7,5.566666666666666,3,3,1.0
female,1,S,Miss,Alone,female_1,Adult,C,High,1,1,58.0,26.55,26.55,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,20.0,8.05,8.05,1,1,0.0
male,3,S,Mr,Large,male_3,Adult,Unknown,High,0,0,39.0,31.275,4.4678571428571425,7,7,0.0
female,3,S,Miss,Alone,female_3,Child,Unknown,Low,1,0,14.0,7.8542,7.8542,1,1,0.0
female,2,S,Mrs,Alone,female_2,Adult,Unknown,High,1,0,55.0,16.0,16.0,1,1,1.0
male,3,Q,Master,Large,male_3,Child,Unknown,High,0,0,2.0,29.125,4.854166666666667,6,6,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,29.5,13.0,13.0,1,1,1.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,High,0,0,31.0,18.0,9.0,2,2,0.0
female,3,C,Mrs,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.225,7.225,1,1,1.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,High,1,0,35.0,26.0,26.0,1,2,0.0
male,2,S,Mr,Alone,male_2,Adult,D,Medium,1,1,34.0,13.0,13.0,1,1,1.0
female,3,Q,Miss,Alone,female_3,Child,Unknown,Medium,1,0,15.0,8.0292,8.0292,1,1,1.0
male,1,S,Mr,Alone,male_1,Adult,A,VeryHigh,1,1,28.0,35.5,35.5,1,1,1.0
female,3,S,Miss,Large,female_3,Child,Unknown,High,0,0,8.0,21.075,4.215,5,5,0.0
female,3,S,Mrs,Large,female_3,Adult,Unknown,VeryHigh,0,0,38.0,31.3875,4.483928571428572,7,7,1.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.225,7.225,1,1,0.0
male,1,S,Mr,Large,male_1,Adult,C,VeryHigh,0,1,19.0,263.0,43.833333333333336,6,6,0.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.8792,7.8792,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.8958,7.8958,1,1,0.0
male,1,C,Rare,Alone,male_1,Adult,Unknown,High,1,0,40.0,27.7208,27.7208,1,1,0.0
female,1,C,Mrs,Small,female_1,Adult,B,VeryHigh,0,1,36.0,146.5208,73.2604,2,3,1.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.75,7.75,1,1,1.0
male,2,S,Mr,Alone,male_2,Elderly,Unknown,Medium,1,0,66.0,10.5,10.5,1,1,0.0
male,1,C,Mr,Small,male_1,Adult,Unknown,VeryHigh,0,0,28.0,82.1708,41.0854,2,2,0.0
male,1,S,Mr,Small,male_1,Adult,Unknown,VeryHigh,0,0,42.0,52.0,26.0,2,2,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.2292,7.2292,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,21.0,8.05,8.05,1,1,0.0
female,3,S,Miss,Optimal,female_3,Adult,Unknown,High,0,0,18.0,18.0,6.0,3,2,0.0
female,3,C,Miss,Small,female_3,Child,Unknown,Medium,0,0,14.0,11.2417,5.62085,2,2,1.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,Medium,0,0,40.0,9.475,4.7375,2,1,0.0
female,2,S,Mrs,Small,female_2,Adult,Unknown,High,0,0,27.0,21.0,10.5,2,2,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.8958,7.8958,1,1,0.0
female,2,C,Miss,Optimal,female_2,Child,Unknown,VeryHigh,0,0,3.0,41.5792,10.3948,4,4,1.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,19.0,7.8792,7.8792,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.05,8.05,1,1,0.0
male,3,Q,Mr,Small,male_3,Adult,Unknown,High,0,0,25.0,15.5,7.75,2,2,0.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.75,7.75,1,1,1.0
male,3,C,Mr,Optimal,male_3,Adult,Unknown,High,0,0,25.0,21.6792,7.226400000000001,3,3,0.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,High,0,0,18.0,17.8,8.9,2,2,0.0
male,3,S,Master,Large,male_3,Child,Unknown,VeryHigh,0,0,7.0,39.6875,6.614583333333333,6,7,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,21.0,7.8,7.8,1,1,0.0
female,1,C,Mrs,Small,female_1,Adult,D,VeryHigh,0,1,49.0,76.7292,38.3646,2,3,1.0
female,2,S,Mrs,Small,female_2,Adult,Unknown,High,0,0,29.0,26.0,13.0,2,2,1.0
male,1,C,Mr,Small,male_1,Elderly,B,VeryHigh,0,1,65.0,61.9792,30.9896,2,2,0.0
male,1,S,Mr,Alone,male_1,Adult,C,VeryHigh,1,1,42.0,35.5,35.5,1,1,1.0
female,2,S,Miss,Alone,female_2,Adult,Unknown,Medium,1,0,21.0,10.5,10.5,1,1,1.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,28.5,7.2292,7.2292,1,1,0.0
female,2,S,Miss,Optimal,female_2,Child,Unknown,High,0,0,5.0,27.75,6.9375,4,4,1.0
male,3,S,Master,Large,male_3,Child,Unknown,VeryHigh,0,0,11.0,46.9,5.8625,8,8,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,22.0,7.2292,7.2292,1,1,0.0
female,1,S,Miss,Alone,female_1,Adult,B,VeryHigh,1,1,38.0,80.0,80.0,1,2,1.0
male,1,S,Mr,Small,male_1,Adult,C,VeryHigh,0,1,45.0,83.475,41.7375,2,2,0.0
male,3,S,Master,Large,male_3,Child,Unknown,High,0,0,4.0,27.9,4.6499999999999995,6,6,0.0
male,1,C,Mr,Alone,male_1,Adult,Unknown,High,1,0,42.0,27.7208,27.7208,1,1,0.0
male,3,C,Master,Optimal,male_3,Adult,Unknown,High,0,0,25.0,15.2458,5.081933333333333,3,3,1.0
female,2,S,Mrs,Alone,female_2,Adult,F,Medium,1,1,29.0,10.5,10.5,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,19.0,8.1583,8.1583,1,1,0.0
female,3,S,Miss,Large,female_3,Adult,Unknown,Medium,0,0,17.0,7.925,1.1321428571428571,7,1,1.0
male,3,S,Mr,Optimal,male_3,Adult,Unknown,Medium,0,0,26.0,8.6625,2.8874999999999997,3,1,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,32.0,10.5,10.5,1,1,0.0
female,3,S,Miss,Large,female_3,Adult,Unknown,VeryHigh,0,0,16.0,46.9,5.8625,8,8,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,VeryHigh,1,0,21.0,73.5,73.5,1,7,0.0
male,3,C,Mr,Small,male_3,Adult,Unknown,Medium,0,0,26.0,14.4542,7.2271,2,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,VeryHigh,1,0,32.0,56.4958,56.4958,1,8,1.0
male,3,S,Mr,Alone,male_3,Adult,F,Low,1,1,25.0,7.65,7.65,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.8958,7.8958,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.05,8.05,1,1,0.0
male,2,S,Master,Optimal,male_2,Child,Unknown,High,0,0,0.83,29.0,9.666666666666666,3,3,1.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Medium,1,0,30.0,12.475,12.475,1,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,22.0,9.0,9.0,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,29.0,9.5,9.5,1,1,1.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.7875,7.7875,1,1,1.0
male,1,S,Mr,Alone,male_1,Adult,Unknown,VeryHigh,1,0,28.0,47.1,47.1,1,2,0.0
female,2,S,Miss,Alone,female_2,Adult,Unknown,Medium,1,0,17.0,10.5,10.5,1,1,1.0
female,3,S,Mrs,Optimal,female_3,Adult,Unknown,High,0,0,33.0,15.85,3.9625,4,2,1.0
male,3,S,Mr,Large,male_3,Adult,Unknown,VeryHigh,0,0,16.0,34.375,6.875,5,5,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.05,8.05,1,1,0.0
female,1,S,Miss,Large,female_1,Adult,C,VeryHigh,0,1,23.0,263.0,43.833333333333336,6,6,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,24.0,8.05,8.05,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,29.0,8.05,8.05,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,20.0,7.8542,7.8542,1,1,0.0
male,1,S,Mr,Small,male_1,Adult,E,VeryHigh,0,1,46.0,61.175,30.5875,2,2,0.0
male,3,S,Mr,Optimal,male_3,Adult,Unknown,High,0,0,26.0,20.575,5.14375,4,4,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,59.0,7.25,7.25,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.05,8.05,1,1,0.0
male,1,C,Mr,Alone,male_1,Elderly,A,VeryHigh,1,1,71.0,34.6542,34.6542,1,1,0.0
male,1,C,Mr,Small,male_1,Adult,D,VeryHigh,0,1,23.0,63.3583,31.67915,2,2,1.0
female,2,S,Mrs,Small,female_2,Adult,Unknown,High,0,0,34.0,23.0,11.5,2,2,1.0
male,2,S,Mr,Small,male_2,Adult,Unknown,High,0,0,34.0,26.0,13.0,2,2,0.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Low,1,0,28.0,7.8958,7.8958,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.8958,7.8958,1,1,0.0
male,1,S,Mr,Small,male_1,Adult,D,VeryHigh,0,1,21.0,77.2875,38.64375,2,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,33.0,8.6542,8.6542,1,1,0.0
male,3,S,Mr,Optimal,male_3,Adult,Unknown,Medium,0,0,37.0,7.925,2.6416666666666666,3,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,28.0,7.8958,7.8958,1,1,0.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Low,1,0,21.0,7.65,7.65,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.775,7.775,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,38.0,7.8958,7.8958,1,1,0.0
female,3,Q,Miss,Small,female_3,Adult,Unknown,High,0,0,22.0,24.15,12.075,2,3,1.0
male,1,S,Mr,Alone,male_1,Adult,C,VeryHigh,1,1,47.0,52.0,52.0,1,2,0.0
female,3,C,Miss,Small,female_3,Child,Unknown,Medium,0,0,14.5,14.4542,7.2271,2,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,22.0,8.05,8.05,1,1,0.0
female,3,S,Miss,Small,female_3,Adult,Unknown,Medium,0,0,20.0,9.825,4.9125,2,1,0.0
female,3,C,Miss,Alone,female_3,Adult,Unknown,High,1,0,17.0,14.4583,14.4583,1,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,21.0,7.925,7.925,1,1,0.0
male,3,Q,Mr,Alone,male_3,Elderly,Unknown,Low,1,0,70.5,7.75,7.75,1,1,0.0
male,2,S,Mr,Small,male_2,Adult,Unknown,High,0,0,29.0,21.0,10.5,2,2,0.0
male,1,C,Mr,Small,male_1,Adult,B,VeryHigh,0,1,24.0,247.5208,123.7604,2,3,0.0
female,3,S,Miss,Large,female_3,Child,Unknown,High,0,0,2.0,31.275,4.4678571428571425,7,7,0.0
male,2,S,Mr,Optimal,male_2,Adult,Unknown,VeryHigh,0,0,21.0,73.5,24.5,3,7,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.05,8.05,1,1,0.0
male,2,C,Mr,Small,male_2,Adult,Unknown,High,0,0,32.5,30.0708,15.0354,2,2,0.0
female,2,S,Miss,Alone,female_2,Adult,E,Medium,1,1,32.5,13.0,13.0,1,1,1.0
male,1,S,Mr,Small,male_1,Adult,D,VeryHigh,0,1,54.0,77.2875,38.64375,2,2,0.0
male,3,C,Master,Small,male_3,Child,Unknown,Medium,0,0,12.0,11.2417,5.62085,2,2,1.0
male,3,Q,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.75,7.75,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,24.0,7.1417,7.1417,1,1,1.0
female,3,C,Miss,Optimal,female_3,Adult,F,High,0,1,22.0,22.3583,7.452766666666666,3,3,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,45.0,6.975,6.975,1,1,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,33.0,7.8958,7.8958,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,20.0,7.05,7.05,1,1,0.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,High,0,0,47.0,14.5,7.25,2,2,0.0
female,2,S,Mrs,Small,female_2,Adult,Unknown,High,0,0,29.0,26.0,13.0,2,2,1.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,25.0,13.0,13.0,1,1,0.0
male,2,C,Mr,Alone,male_2,Adult,Unknown,High,1,0,23.0,15.0458,15.0458,1,1,0.0
female,1,S,Miss,Optimal,female_1,Adult,D,High,0,1,19.0,26.2833,8.7611,3,1,1.0
male,1,S,Mr,Small,male_1,Adult,C,VeryHigh,0,1,37.0,53.1,26.55,2,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,16.0,9.2167,9.2167,1,2,0.0
male,1,C,Mr,Alone,male_1,Adult,B,VeryHigh,1,1,24.0,79.2,79.2,1,2,0.0
female,3,C,Mrs,Optimal,female_3,Adult,Unknown,High,0,0,22.0,15.2458,5.081933333333333,3,3,0.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.75,7.75,1,1,1.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,High,0,0,24.0,15.85,7.925,2,2,1.0
male,3,Q,Mr,Alone,male_3,Adult,Unknown,Low,1,0,19.0,6.75,6.75,1,1,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,18.0,11.5,11.5,1,1,0.0
male,2,S,Mr,Optimal,male_2,Adult,Unknown,VeryHigh,0,0,19.0,36.75,12.25,3,4,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,27.0,7.7958,7.7958,1,1,1.0
female,3,S,Miss,Large,female_3,Child,Unknown,VeryHigh,0,0,9.0,34.375,6.875,5,5,0.0
male,2,S,Mr,Optimal,male_2,Adult,F,High,0,1,36.5,26.0,8.666666666666666,3,3,0.0
male,2,S,Rare,Alone,male_2,Adult,Unknown,Medium,1,0,42.0,13.0,13.0,1,1,0.0
male,2,S,Rare,Alone,male_2,Adult,Unknown,Medium,1,0,51.0,12.525,12.525,1,1,0.0
female,1,S,Mrs,Small,female_1,Adult,C,VeryHigh,0,1,22.0,66.6,33.3,2,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,55.5,8.05,8.05,1,1,0.0
male,3,S,Mr,Optimal,male_3,Adult,Unknown,High,0,0,40.5,14.5,4.833333333333333,3,3,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.3125,7.3125,1,1,0.0
male,1,C,Mr,Small,male_1,Adult,Unknown,VeryHigh,0,0,51.0,61.3792,30.6896,2,2,0.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,16.0,7.7333,7.7333,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,30.0,8.05,8.05,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.6625,8.6625,1,1,0.0
male,3,S,Master,Large,male_3,Adult,Unknown,VeryHigh,0,0,25.0,69.55,6.322727272727272,11,11,0.0
male,3,S,Mr,Small,male_3,Adult,Unknown,High,0,0,44.0,16.1,8.05,2,2,0.0
female,2,S,Mrs,Alone,female_2,Adult,Unknown,High,1,0,40.0,15.75,15.75,1,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,26.0,7.775,7.775,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,17.0,8.6625,8.6625,1,1,0.0
male,3,S,Master,Large,male_3,Child,Unknown,VeryHigh,0,0,1.0,39.6875,6.614583333333333,6,7,0.0
male,3,S,Master,Optimal,male_3,Child,Unknown,High,0,0,9.0,20.525,6.841666666666666,3,3,1.0
female,1,S,Mrs,Small,female_1,Adult,E,VeryHigh,0,1,36.0,55.0,27.5,2,2,1.0
female,3,S,Mrs,Large,female_3,Adult,Unknown,High,0,0,45.0,27.9,4.6499999999999995,6,6,0.0
male,1,S,Mr,Alone,male_1,Adult,Unknown,High,1,0,42.0,25.925,25.925,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,VeryHigh,1,0,28.0,56.4958,56.4958,1,8,0.0
male,1,S,Mr,Alone,male_1,Elderly,B,VeryHigh,1,1,61.0,33.5,33.5,1,1,0.0
male,3,Q,Master,Large,male_3,Child,Unknown,High,0,0,4.0,29.125,4.854166666666667,6,6,0.0
female,3,S,Miss,Optimal,female_3,Child,Unknown,Medium,0,0,1.0,11.1333,3.7111,3,3,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,21.0,7.925,7.925,1,1,0.0
male,1,C,Mr,Alone,male_1,Adult,A,High,1,1,56.0,30.6958,30.6958,1,1,0.0
male,3,S,Mr,Optimal,male_3,Adult,Unknown,Low,0,0,18.0,7.8542,2.6180666666666665,3,1,0.0
male,3,S,Master,Large,male_3,Adult,Unknown,High,0,0,25.0,25.4667,5.0933399999999995,5,5,0.0
female,1,C,Miss,Alone,female_1,Adult,C,High,1,1,50.0,28.7125,28.7125,1,1,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,30.0,13.0,13.0,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,36.0,0.0,0.0,1,4,0.0
female,3,S,Miss,Large,female_3,Adult,Unknown,VeryHigh,0,0,22.0,69.55,6.322727272727272,11,11,0.0
male,2,C,Mr,Alone,male_2,Adult,Unknown,High,1,0,29.5,15.05,15.05,1,1,0.0
male,3,S,Master,Large,male_3,Child,Unknown,VeryHigh,0,0,9.0,31.3875,4.483928571428572,7,7,0.0
male,2,S,Master,Optimal,male_2,Child,F,VeryHigh,0,1,1.0,39.0,9.75,4,4,1.0
female,3,S,Miss,Optimal,female_3,Child,Unknown,High,0,0,4.0,22.025,7.341666666666666,3,3,1.0
male,1,S,Mr,Alone,male_1,Adult,A,VeryHigh,1,1,42.0,50.0,50.0,1,1,0.0
female,3,Q,Mrs,Small,female_3,Adult,Unknown,High,0,0,22.0,15.5,7.75,2,2,1.0
male,1,S,Mr,Alone,male_1,Adult,Unknown,High,1,0,45.0,26.55,26.55,1,1,1.0
male,3,Q,Mr,Optimal,male_3,Adult,Unknown,High,0,0,40.0,15.5,5.166666666666667,3,2,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,36.0,7.8958,7.8958,1,1,0.0
female,2,S,Mrs,Alone,female_2,Adult,Unknown,Medium,1,0,32.0,13.0,13.0,1,1,1.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,19.0,13.0,13.0,1,1,0.0
female,3,S,Miss,Small,female_3,Adult,Unknown,Low,0,0,19.0,7.8542,3.9271,2,1,1.0
male,2,S,Master,Optimal,male_2,Child,F,High,0,1,3.0,26.0,8.666666666666666,3,3,1.0
female,1,C,Mrs,Alone,female_1,Adult,B,High,1,1,44.0,27.7208,27.7208,1,1,1.0
female,1,C,Miss,Alone,female_1,Adult,B,VeryHigh,1,1,58.0,146.5208,146.5208,1,3,1.0
male,3,Q,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.75,7.75,1,1,0.0
male,3,S,Mr,Small,male_3,Adult,Unknown,Medium,0,0,42.0,8.4042,4.2021,2,1,0.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.75,7.75,1,1,1.0
female,2,S,Miss,Alone,female_2,Adult,Unknown,Medium,1,0,24.0,13.0,13.0,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,28.0,9.5,9.5,1,1,0.0
male,3,S,Mr,Large,male_3,Adult,Unknown,VeryHigh,0,0,25.0,69.55,6.322727272727272,11,11,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,34.0,6.4958,6.4958,1,1,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,45.5,7.225,7.225,1,1,0.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,18.0,8.05,8.05,1,1,1.0
female,3,S,Miss,Small,female_3,Child,G,Medium,0,1,2.0,10.4625,5.23125,2,2,0.0
male,3,S,Mr,Small,male_3,Adult,Unknown,High,0,0,32.0,15.85,7.925,2,2,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,High,1,0,26.0,18.7875,18.7875,1,2,1.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,16.0,7.75,7.75,1,1,1.0
male,1,C,Mr,Alone,male_1,Adult,A,High,1,1,40.0,31.0,31.0,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,24.0,7.05,7.05,1,1,0.0
female,2,S,Miss,Alone,female_2,Adult,Unknown,High,1,0,35.0,21.0,21.0,1,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,22.0,7.25,7.25,1,1,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,30.0,13.0,13.0,1,1,0.0
male,3,Q,Mr,Small,male_3,Adult,Unknown,Low,0,0,25.0,7.75,3.875,2,1,0.0
female,1,C,Miss,Small,female_1,Adult,D,VeryHigh,0,1,31.0,113.275,56.6375,2,3,1.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Medium,1,0,27.0,7.925,7.925,1,1,1.0
male,2,S,Mr,Small,male_2,Adult,Unknown,High,0,0,42.0,27.0,13.5,2,2,0.0
female,1,C,Miss,Alone,female_1,Adult,D,VeryHigh,1,1,32.0,76.2917,76.2917,1,2,1.0
